CHURN,Gender,Status,Children,Est Income,Car Owner,Age,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan
"T","F","S",1.000000,38000.000000,"N",24.393333,23.560000,0.000000,206.080000,0.000000,"CC","Budget","Intnl_discount",229.640000,3.000000
"F","M","M",2.000000,29616.000000,"N",49.426667,29.780000,0.000000,45.500000,0.000000,"CH","FreeLocal","Standard",75.290000,2.000000
"F","M","M",0.000000,19732.800000,"N",50.673333,24.810000,0.000000,22.440000,0.000000,"CC","FreeLocal","Standard",47.250000,3.000000
"F","M","S",2.000000,96.330000,"N",56.473333,26.130000,0.000000,32.880000,1.000000,"CC","Budget","Standard",59.010000,1.000000
"F","F","M",2.000000,52004.800000,"N",25.140000,5.030000,0.000000,23.110000,0.000000,"CH","Budget","Intnl_discount",28.140000,1.000000
"F","M","M",2.000000,53010.800000,"N",18.840000,12.450000,0.000000,46.420000,4.000000,"CC","FreeLocal","Standard",58.870000,1.000000
"F","M","M",1.000000,75004.500000,"N",64.800000,26.520000,0.000000,32.190000,0.000000,"CC","Budget","Intnl_discount",58.720000,1.000000
"F","M","M",0.000000,19749.300000,"N",60.366667,20.220000,0.000000,13.940000,0.000000,"CC","Budget","Standard",34.170000,3.000000
"F","M","S",1.000000,57626.900000,"Y",43.906667,9.380000,0.000000,38.960000,0.000000,"CC","Budget","Standard",48.350000,2.000000
"F","M","M",2.000000,20078.000000,"N",32.846667,9.650000,0.000000,6.330000,0.000000,"CC","Budget","Intnl_discount",15.980000,4.000000
"F","F","M",2.000000,47902.000000,"N",26.033333,17.440000,4.940000,49.920000,1.000000,"Auto","FreeLocal","Standard",72.310000,2.000000
"T","M","M",1.000000,7545.960000,"Y",16.753333,22.390000,0.000000,178.360000,0.000000,"CC","Budget","Standard",200.750000,3.000000
"T","F","S",0.000000,78851.300000,"N",48.373333,0.370000,0.000000,28.660000,0.000000,"CC","FreeLocal","Standard",29.040000,4.000000
"T","F","S",1.000000,17540.700000,"Y",62.786667,22.170000,0.570000,13.450000,0.000000,"Auto","Budget","Standard",36.200000,4.000000
"T","F","M",0.000000,83891.900000,"Y",61.020000,28.920000,0.000000,45.470000,0.000000,"CH","Budget","Standard",74.400000,4.000000
"T","F","M",2.000000,28220.800000,"N",38.766667,26.490000,0.000000,12.460000,0.000000,"CC","FreeLocal","Standard",38.950000,4.000000
"T","F","S",0.000000,28589.100000,"N",15.600000,13.190000,0.000000,87.090000,0.000000,"CC","FreeLocal","Standard",100.280000,4.000000
"F","F","M",2.000000,5237.630000,"N",48.753333,13.320000,8.050000,56.640000,0.000000,"CC","Budget","Standard",78.020000,2.000000
"T","M","S",2.000000,89459.900000,"N",53.280000,11.540000,1.610000,22.900000,0.000000,"CC","FreeLocal","Standard",36.050000,2.000000
"T","F","S",1.000000,13576.500000,"N",39.426667,14.830000,0.000000,25.660000,0.000000,"CC","Budget","Standard",40.490000,1.000000
"T","F","M",2.000000,67388.000000,"N",53.120000,4.790000,0.500000,91.040000,1.000000,"CC","Budget","Standard",96.330000,3.000000
"F","F","M",1.000000,57063.000000,"Y",52.333333,16.790000,0.000000,81.300000,0.000000,"CH","Budget","Standard",98.100000,4.000000
"T","F","M",2.000000,84166.100000,"N",54.013333,3.280000,0.000000,11.740000,1.000000,"CC","Budget","Standard",15.020000,2.000000
"T","F","S",1.000000,7737.940000,"N",42.666667,11.050000,0.000000,50.840000,0.000000,"CC","FreeLocal","Standard",61.900000,4.000000
"T","M","S",2.000000,100020.000000,"N",50.000000,21.370000,0.000000,293.240000,0.000000,"CH","Budget","Standard",314.620000,4.000000
"F","F","M",2.000000,45287.600000,"Y",29.026667,0.000000,0.000000,2.970000,0.000000,"CC","Budget","Standard",2.970000,3.000000
"T","F","M",2.000000,59613.100000,"N",34.320000,12.370000,0.000000,163.410000,0.000000,"CC","Budget","Intnl_discount",175.780000,1.000000
"T","F","S",1.000000,16326.700000,"N",50.613333,0.000000,0.000000,1.340000,0.000000,"CC","FreeLocal","Intnl_discount",1.340000,1.000000
"T","F","S",2.000000,9559.780000,"N",51.380000,18.310000,0.000000,59.590000,0.000000,"CC","FreeLocal","Standard",77.910000,3.000000
"F","F","M",2.000000,42031.800000,"N",50.753333,20.450000,0.000000,39.330000,0.000000,"CH","Budget","Intnl_discount",59.780000,4.000000
"F","F","M",2.000000,83284.100000,"Y",28.420000,26.910000,0.000000,9.040000,0.000000,"Auto","FreeLocal","Intnl_discount",35.960000,4.000000
"F","M","M",1.000000,39229.100000,"N",26.260000,28.820000,4.740000,13.530000,0.000000,"CC","Budget","Intnl_discount",47.100000,4.000000
"F","F","S",0.000000,68427.400000,"N",42.393333,23.760000,0.000000,50.050000,0.000000,"Auto","FreeLocal","Standard",73.810000,3.000000
"T","M","S",0.000000,3601.710000,"N",49.266667,9.570000,4.190000,111.840000,0.000000,"Auto","Budget","Intnl_discount",125.600000,4.000000
"F","F","M",0.000000,72642.600000,"N",27.646667,18.660000,0.000000,20.340000,0.000000,"CH","FreeLocal","Intnl_discount",39.000000,4.000000
"T","F","S",0.000000,98716.300000,"N",55.660000,20.970000,8.230000,13.920000,0.000000,"CC","FreeLocal","Standard",43.130000,4.000000
"F","F","S",2.000000,66182.700000,"Y",62.480000,11.700000,0.000000,47.170000,0.000000,"Auto","Budget","Standard",58.870000,2.000000
"T","F","M",2.000000,84789.300000,"N",50.433333,14.220000,8.800000,10.450000,0.000000,"CH","FreeLocal","Standard",33.470000,4.000000
"T","F","M",2.000000,35976.500000,"Y",48.853333,18.850000,0.000000,31.780000,0.000000,"Auto","FreeLocal","Intnl_discount",50.630000,4.000000
"F","F","M",0.000000,32703.100000,"Y",64.920000,16.800000,0.000000,56.090000,0.000000,"CC","Budget","Intnl_discount",72.890000,4.000000
"F","F","M",1.000000,77129.100000,"Y",61.846667,24.770000,0.000000,20.070000,0.000000,"CH","FreeLocal","Intnl_discount",44.850000,4.000000
"F","F","M",2.000000,8204.720000,"N",52.973333,15.590000,0.000000,24.190000,0.000000,"CH","FreeLocal","Standard",39.790000,3.000000
"T","M","M",1.000000,97180.400000,"N",50.600000,8.210000,9.630000,45.660000,0.000000,"CC","FreeLocal","Standard",63.510000,4.000000
"F","F","M",0.000000,80405.100000,"N",60.226667,2.910000,8.950000,17.110000,0.000000,"CC","FreeLocal","Standard",28.980000,4.000000
"T","F","S",2.000000,38280.000000,"N",33.740000,11.640000,0.000000,74.970000,0.000000,"Auto","FreeLocal","Intnl_discount",86.610000,4.000000
"T","M","S",0.000000,64136.600000,"Y",61.106667,16.210000,1.000000,125.150000,0.000000,"CC","FreeLocal","Intnl_discount",142.370000,2.000000
"T","F","M",2.000000,45429.700000,"Y",61.713333,24.700000,0.000000,73.040000,0.000000,"CH","FreeLocal","Standard",97.740000,2.000000
"T","F","S",0.000000,25285.500000,"N",53.986667,9.370000,0.000000,11.930000,0.000000,"CC","FreeLocal","Standard",21.300000,1.000000
"F","F","M",2.000000,77551.100000,"Y",33.600000,20.530000,0.000000,41.890000,1.000000,"CC","Budget","Intnl_discount",62.420000,2.000000
"T","F","M",0.000000,38538.400000,"N",12.326667,22.860000,8.320000,16.480000,0.000000,"CC","FreeLocal","Standard",47.660000,3.000000
"F","F","S",0.000000,69350.500000,"Y",57.420000,1.900000,0.000000,25.950000,0.000000,"CC","FreeLocal","Standard",27.860000,4.000000
"T","M","S",2.000000,43634.500000,"N",21.780000,29.440000,9.420000,104.640000,0.000000,"CC","Budget","Standard",143.500000,1.000000
"T","F","S",1.000000,13109.100000,"N",62.606667,22.380000,0.000000,40.480000,0.000000,"Auto","Budget","Standard",62.870000,1.000000
"T","M","S",1.000000,92647.500000,"N",56.046667,16.040000,5.740000,10.340000,0.000000,"CC","Budget","Standard",32.130000,4.000000
"T","F","S",2.000000,21021.600000,"Y",62.753333,1.000000,0.000000,11.190000,0.000000,"CC","Budget","Standard",14.950000,3.000000
"T","M","S",0.000000,74460.700000,"Y",55.340000,25.530000,0.990000,179.930000,0.000000,"CC","FreeLocal","Standard",206.460000,2.000000
"T","F","S",2.000000,28787.400000,"N",41.666667,27.970000,0.000000,58.090000,0.000000,"Auto","Budget","Standard",86.060000,2.000000
"F","M","M",1.000000,13091.600000,"N",59.126667,22.790000,0.000000,20.260000,0.000000,"CC","Budget","Intnl_discount",43.060000,2.000000
"F","F","M",2.000000,62061.800000,"Y",45.920000,29.860000,0.000000,52.220000,0.000000,"Auto","FreeLocal","Standard",82.080000,2.000000
"T","F","M",1.000000,20550.900000,"Y",22.120000,27.720000,0.860000,57.060000,0.000000,"CC","Budget","Standard",85.640000,3.000000
"F","M","M",2.000000,1765.410000,"N",18.766667,3.040000,0.000000,44.950000,0.000000,"CC","FreeLocal","Standard",47.990000,4.000000
"T","F","S",2.000000,19131.100000,"N",56.186667,22.150000,0.000000,34.910000,0.000000,"Auto","Budget","Standard",57.070000,2.000000
"F","F","S",2.000000,83073.700000,"N",39.553333,0.000000,0.000000,3.200000,0.000000,"CC","Budget","Standard",3.200000,4.000000
"F","M","M",2.000000,42750.300000,"Y",50.493333,20.590000,1.970000,112.400000,0.000000,"Auto","Budget","Intnl_discount",134.970000,1.000000
"T","F","S",2.000000,2842.550000,"N",45.920000,0.000000,0.000000,0.790000,0.000000,"Auto","Budget","Intnl_discount",0.790000,2.000000
"F","M","M",2.000000,22358.100000,"N",52.626667,15.540000,1.520000,12.190000,0.000000,"CC","Budget","Standard",29.250000,1.000000
"F","M","M",0.000000,47870.800000,"Y",27.260000,2.000000,1.170000,12.480000,0.000000,"CC","FreeLocal","Standard",13.820000,2.000000
"F","F","S",2.000000,6440.460000,"Y",52.646667,22.660000,0.000000,27.200000,0.000000,"CH","Budget","Standard",49.860000,1.000000
